date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:45	9553/9553	---M-Z	200	added ('OK')	text/css	etag:%2211a21c2984a050ca9d53897c5f564993-ssl-df%22	https://robovission.netlify.app/css/font-icons.css	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/font-icons.css	(from https://robovission.netlify.app/css/style.css)
00:49:45	12891/12891	---M-Z	200	added ('OK')	text/css	etag:%220bfc06fc051f89b270b1dc9098ee29c7-ssl-df%22	https://robovission.netlify.app/css/cryptocoins.css	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/cryptocoins.css	(from https://robovission.netlify.app/css/style.css)
00:49:45	16470/16470	---M-Z	200	added ('OK')	text/css	etag:%224dd342c762ecb94c395c5290e25e6451-ssl-df%22	https://robovission.netlify.app/css/themify-icons.css	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/css/themify-icons.css	(from https://robovission.netlify.app/css/style.css)
00:49:46	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/core-img/shape1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/shape1.png	(from https://robovission.netlify.app/css/style.css)
00:49:46	13121/13121	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a7bb9889ee662b377428e367f67c7854-ssl-df%22	https://robovission.netlify.app/img/svg/bg-header1.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/bg-header1.svg	(from https://robovission.netlify.app/css/style.css)
00:49:46	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img//bg-img/travel-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/travel-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:46	7062/7062	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c58aa68cf55aaa7b59d1b40e86fb29b5-ssl-df%22	https://robovission.netlify.app/img/svg/diamond-shape.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/diamond-shape.svg	(from https://robovission.netlify.app/css/style.css)
00:49:47	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/header2.jpg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header2.jpg	(from https://robovission.netlify.app/css/style.css)
00:49:47	3156/3156	---M-Z	404	error ('Not%20Found')	text/html	etag:1593037289-ssl-df	https://robovission.netlify.app/img/bg-img/header5.jpg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header5.jpg	(from https://robovission.netlify.app/css/style.css)
00:49:48	146325/146325	---M--	200	added ('OK')	image/png	etag:%221bbad29b1b422c92aba0feeb7c820477-ssl%22	https://robovission.netlify.app/img/bg-img/header2.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header2.png	(from https://robovission.netlify.app/css/style.css)
00:49:49	185638/185638	---M--	200	added ('OK')	image/png	etag:%22466f09c2c72fc59c33fb553e03c78228-ssl%22	https://robovission.netlify.app/img/bg-img/header4.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/header4.png	(from https://robovission.netlify.app/css/style.css)
00:49:50	327694/327694	---M--	200	added ('OK')	image/png	etag:%22d73960260dc76bfda0fb2694760ec153-ssl%22	https://robovission.netlify.app/img/bg-img/demo-bg.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/demo-bg.png	(from https://robovission.netlify.app/css/style.css)
00:49:51	379624/379624	---M--	200	added ('OK')	image/png	etag:%226b6f45324a601e37c6e0f5bd016ff129-ssl%22	https://robovission.netlify.app/img/bg-img/ai1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/ai1.png	(from https://robovission.netlify.app/css/style.css)
00:49:51	176970/176970	---M--	200	added ('OK')	image/png	etag:%222ef9d239e8b2779bd6a3f71ad32ee6f5-ssl%22	https://robovission.netlify.app/img/bg-img/ai2.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/ai2.png	(from https://robovission.netlify.app/css/style.css)
00:49:51	212898/212898	---M--	200	added ('OK')	image/png	etag:%2235f0332185e4f45cb45483bed98a75c7-ssl%22	https://robovission.netlify.app/img/bg-img/ai3.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/bg-img/ai3.png	(from https://robovission.netlify.app/css/style.css)
00:49:51	7727/7727	---M--	200	added ('OK')	image/png	etag:%220ccf44d0a81b1715884b330e8b6dc763-ssl%22	https://robovission.netlify.app/img/core-img/demo-before.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/demo-before.png	(from https://robovission.netlify.app/css/style.css)
00:49:52	1500/1500	---M-Z	200	added ('OK')	image/svg+xml	etag:%22daa52cad1ef077212182a0d5b2135081-ssl-df%22	https://robovission.netlify.app/img/svg/bg_hero.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/bg_hero.svg	(from https://robovission.netlify.app/css/style.css)
00:49:52	816/816	---M--	200	added ('OK')	image/svg+xml	etag:%22233fc18d947b22b742dbddf315aaf7d1-ssl%22	https://robovission.netlify.app/img/svg/bg_hero1.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/svg/bg_hero1.svg	(from https://robovission.netlify.app/css/style.css)
